"Plant_gen_sp","family","flower_morphology","flower_form","nectar_tube_diameter_mm","nectar_tube_depth_mm","flower_width_mm"
"Acacia adealbata","Fabaceae","Actinomorphic","disc bowl",0,0,15
"Anchusa azurea","Boraginaceae","Actinomorphic","disc bowl",3.686,7.974,18.265
"Andryala integrifolia","Asteraceae","Actinomorphic","disc bowl",0.49,5.8,35
"Arctotheca calendula","Asteraceae","Actinomorphic","disc bowl",0.48,3.8,45
"Armeria velutina","Plumbaginaceae","Actinomorphic","restrictive",6.54,8.04,9
"Asphodelus fistulosus","Asphodelaceae","Actinomorphic","disc bowl",0,0,25
"Astragalus lusitanicus","Fabaceae","Zigomorphic","very restrictive",5.95,11.9,16.8
"Calendula arvensis","Asteraceae","Actinomorphic","disc bowl",1,2.5,20
"Carduus sp","Asteraceae","Actinomorphic","disc bowl",0.18,1.26,30
"Cerinthe gymnandra","Boraginaceae","Actinomorphic","very restrictive",7,17,7
"Chamaerops humilis","Arecaceae","Actinomorphic","disc bowl",0,0,5
"Chamaemelum fuscatum","Asteraceae","Actinomorphic","disc bowl",0.19,1.1,20
"Cistus crispus","Cistaceae","Actinomorphic","disc bowl",0,0,45
"Cistus ladanifer","Cistaceae","Actinomorphic","disc bowl",0,0,65
"Cistus salvifolius","Cistaceae","Actinomorphic","disc bowl",0,0,60
"Cistus albidus","Cistaceae","Actinomorphic","disc bowl",0,0,60
"Cistus libanotis","Cistaceae","Actinomorphic","disc bowl",0,0,53
"Cistus monspeliensis","Cistaceae","Actinomorphic","disc bowl",0,0,22
"Cirsium vulgare","Asteraceae","Actinomorphic","disc bowl",0.18,1.26,30
"Convolvulus althaeoides","Convolvulaeae","Actinomorphic","disc bowl",12.78,9.12,25.2
"Convolvulus arvensis","Convolvulaeae","Actinomorphic","disc bowl",12.78,9.12,25.2
"Diplotaxis virgata","Brassicaceae","Actinomorphic","disc bowl",0,0,23.51
"Echium plantagineum","Boraginaceae","Zigomorphic","disc bowl",6.9,15.5,25
"Erica ciliaris","Ericaceae","Actinomorphic","very restrictive",4,16.5,4
"Erica lusitanica","Ericaceae","Actinomorphic","very restrictive",2.38,4.12,2.38
"Erica scoparia","Ericaceae","Actinomorphic","restrictive",2.25,1.82,2.25
"Erica umbellata","Ericaceae","Actinomorphic","restrictive",1.82,4.2,4
"Erica arborea","Ericaceae","Actinomorphic","restrictive",1.73,2.08,1.73
"Erodium sp","Geraniaceae","Zigomorphic","disc bowl",0,0,21.55
"Genista hirsuta","Fabaceae","Zigomorphic","disc bowl",2.97,3.28,8.3
"Geranium sp","Geraniaceae","Zigomorphic","disc bowl",0,0,24.2
"Halimium commutatum","Cistaceae","Actinomorphic","disc bowl",0,0,27.9
"Halimium halimifolium","Cistaceae","Actinomorphic","disc bowl",0,0,18.7
"Lavandula pedunculata","Lamiaceae","Zigomorphic","restrictive",2,1.5,5.5
"Lavandula stoechas","Lamiaceae","Zigomorphic","restrictive",1.88,2,5.65
"Lavatera cretica","Malvaceae","Actinomorphic","disc bowl",0,0,33.7
"Leontodon longirostris","Asteraceae","Actinomorphic","disc bowl",1,3.75,35
"Leontodon sp","Asteraceae","Actinomorphic","disc bowl",1,3.5,35
"Linaria viscosa","Scrophulariaceae","Zigomorphic","very restrictive",0.71,15.1,7.7
"Linum bienne","Linaceae","Actinomorphic","disc bowl",0,0,10
"Lupinus angustifolius","Fabaceae","Zigomorphic","restrictive",8.87,4.43,14.3
"Malva sp","Malvaceae","Actinomorphic","disc bowl",0,0,33.7
"Malcolmia lacera","Brassicaceae","Actinomorphic","disc bowl",3.15,17.7,25
"Mentha pulegium","Lamiaceae","Zigomorphic","restrictive",2.5,1.5,5.5
"Mirtus communis","Myrtaceae","Actinomorphic","disc bowl",0,0,35
"Muscari comosum","Asparagaceae","Actinomorphic","disc bowl",5,7.5,5
"Phlomis purpurea","Lamiaceae","Zigomorphic","restrictive",5,15,26.5
"Ranunculus paludosus","Ranunculaceae","Actinomorphic","disc bowl",0,0,35
"Ranunculus sp","Ranunculaceae","Actinomorphic","disc bowl",0,0,35
"Raphanus raphanistrum","Brassicaceae","Actinomorphic","disc bowl",3.33,9.52,15.7
"Raphanus sp","Brassicaceae","Actinomorphic","disc bowl",3.33,9.52,15.7
"Retama sp","Fabaceae","Zigomorphic","restrictive",1.79,3.78,3.38
"Retama sphaerocarpa","Fabaceae","Zigomorphic","restrictive",1.79,3.78,3.38
"Rosmarinus officinalis","Lamiaceae","Zigomorphic","disc bowl",1.92,4.16,11
"Scolymus hispanicus","Asteraceae","Actinomorphic","disc bowl",1,3.75,35
"Scabiosa atropurpurea","Caprifoliaceae","Zigomorphic","restrictive",1.14,6.05,35
"Spartium junceum","Fabaceae","Zigomorphic","disc bowl",20,0,25
"Taraxacum vulgare","Asteraceae","Actinomorphic","disc bowl",0,0,17
"Teucrium fruticans","Lamiaceae","Zigomorphic","restrictive",6,3,22
"Thapsia villosa","Apiaceae","Actinomorphic","disc bowl",0,0,3.5
"Thymus mastichina","Lamiaceae","Actinomorphic","disc bowl",1,3,2
"Tuberaria guttata","Cistaceae","Actinomorphic","disc bowl",0,0,16.6
"Ulex australis","Fabaceae","Zigomorphic","restrictive",10,0,13
"Ulex eriocladus","Fabaceae","Zigomorphic","restrictive",7,0,9
"Ulex sp ","Fabaceae","Zigomorphic","restrictive",7,0,9
